일자,시각,1시간평균 미세먼지농도(㎍/㎥)
2017-01-01,0,54.0
2017-01-01,1,70.0
2017-01-01,2,68.0
2017-01-01,3,65.0
2017-01-01,4,58.0
2017-01-01,5,55.0
2017-01-01,6,56.0
2017-01-01,7,49.0
2017-01-01,8,52.0
2017-01-01,9,51.0
2017-01-01,10,50.0
2017-01-01,11,55.0
2017-01-01,12,61.0
2017-01-01,13,63.0
2017-01-01,14,69.0
2017-01-01,15,66.0
2017-01-01,16,55.0
2017-01-01,17,50.0
2017-01-01,18,64.0
2017-01-01,19,69.0
2017-01-01,20,69.0
2017-01-01,21,63.0
2017-01-01,22,59.0
2017-01-01,23,64.0
2017-01-02,0,62.0
2017-01-02,1,66.0
2017-01-02,2,88.0
2017-01-02,3,76.0
2017-01-02,4,71.0
2017-01-02,5,71.0
2017-01-02,6,64.0
2017-01-02,7,63.0
2017-01-02,8,62.0
2017-01-02,9,62.0
2017-01-02,10,58.0
2017-01-02,11,44.0
2017-01-02,12,49.0
2017-01-02,13,61.0
2017-01-02,14,83.0
2017-01-02,15,110.0
2017-01-02,16,116.0
2017-01-02,17,124.0
2017-01-02,18,129.0
2017-01-02,19,127.0
2017-01-02,20,151.0
2017-01-02,21,128.0
2017-01-02,22,119.0
2017-01-02,23,119.0
2017-01-03,0,126.0
2017-01-03,1,125.0
2017-01-03,2,132.0
2017-01-03,3,121.0
2017-01-03,4,94.0
2017-01-03,5,86.0
2017-01-03,6,80.0
2017-01-03,7,81.0
2017-01-03,8,70.0
2017-01-03,9,74.0
2017-01-03,10,
2017-01-03,11,75.0
2017-01-03,12,71.0
2017-01-03,13,72.0
2017-01-03,14,72.0
2017-01-03,15,62.0
2017-01-03,16,55.0
2017-01-03,17,50.0
2017-01-03,18,34.0
2017-01-03,19,21.0
2017-01-03,20,17.0
2017-01-03,21,15.0
2017-01-03,22,22.0
2017-01-03,23,33.0
2017-01-04,0,35.0
2017-01-04,1,32.0
2017-01-04,2,31.0
2017-01-04,3,34.0
2017-01-04,4,36.0
2017-01-04,5,32.0
2017-01-04,6,34.0
2017-01-04,7,36.0
2017-01-04,8,33.0
2017-01-04,9,36.0
2017-01-04,10,49.0
2017-01-04,11,85.0
2017-01-04,12,77.0
2017-01-04,13,77.0
2017-01-04,14,76.0
2017-01-04,15,61.0
2017-01-04,16,50.0
2017-01-04,17,57.0
2017-01-04,18,54.0
2017-01-04,19,39.0
2017-01-04,20,42.0
2017-01-04,21,47.0
2017-01-04,22,35.0
2017-01-04,23,43.0
2017-01-05,0,40.0
2017-01-05,1,41.0
2017-01-05,2,46.0
2017-01-05,3,45.0
2017-01-05,4,54.0
2017-01-05,5,44.0
2017-01-05,6,47.0
2017-01-05,7,53.0
2017-01-05,8,41.0
2017-01-05,9,42.0
2017-01-05,10,42.0
2017-01-05,11,33.0
2017-01-05,12,33.0
2017-01-05,13,36.0
2017-01-05,14,18.0
2017-01-05,15,11.0
2017-01-05,16,9.0
2017-01-05,17,11.0
2017-01-05,18,10.0
2017-01-05,19,8.0
2017-01-05,20,6.0
2017-01-05,21,
2017-01-05,22,5.0
2017-01-05,23,
2017-01-06,0,
2017-01-06,1,
2017-01-06,2,
2017-01-06,3,
2017-01-06,4,
2017-01-06,5,8.0
2017-01-06,6,6.0
2017-01-06,7,6.0
2017-01-06,8,7.0
2017-01-06,9,7.0
2017-01-06,10,14.0
2017-01-06,11,14.0
2017-01-06,12,19.0
2017-01-06,13,22.0
2017-01-06,14,34.0
2017-01-06,15,23.0
2017-01-06,16,26.0
2017-01-06,17,37.0
2017-01-06,18,32.0
2017-01-06,19,31.0
2017-01-06,20,25.0
2017-01-06,21,29.0
2017-01-06,22,27.0
2017-01-06,23,27.0
2017-01-07,0,25.0
2017-01-07,1,31.0
2017-01-07,2,33.0
2017-01-07,3,34.0
2017-01-07,4,34.0
2017-01-07,5,33.0
2017-01-07,6,30.0
2017-01-07,7,31.0
2017-01-07,8,28.0
2017-01-07,9,36.0
2017-01-07,10,44.0
2017-01-07,11,32.0
2017-01-07,12,35.0
2017-01-07,13,47.0
2017-01-07,14,49.0
2017-01-07,15,62.0
2017-01-07,16,59.0
2017-01-07,17,63.0
2017-01-07,18,47.0
2017-01-07,19,30.0
2017-01-07,20,24.0
2017-01-07,21,40.0
2017-01-07,22,36.0
2017-01-07,23,35.0
2017-01-08,0,37.0
2017-01-08,1,38.0
2017-01-08,2,39.0
2017-01-08,3,33.0
2017-01-08,4,28.0
2017-01-08,5,24.0
2017-01-08,6,18.0
2017-01-08,7,19.0
2017-01-08,8,16.0
2017-01-08,9,20.0
2017-01-08,10,15.0
2017-01-08,11,19.0
2017-01-08,12,20.0
