일자,시각,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),일조(hr),일사(MJ/m2),적설(cm)
2017-01-01,0,0.2,,2.2,20.0,79.0,,,
2017-01-01,1,0.0,,1.4,20.0,78.0,,,
2017-01-01,2,-0.3,,1.9,50.0,81.0,,,
2017-01-01,3,-0.7,,2.0,50.0,84.0,,,
2017-01-01,4,-1.1,,1.6,20.0,85.0,,,
2017-01-01,5,-1.4,,1.4,50.0,86.0,,,
2017-01-01,6,-1.5,,1.6,20.0,87.0,,,
2017-01-01,7,-1.5,,1.4,20.0,87.0,,,
2017-01-01,8,-1.3,,1.4,20.0,87.0,0.0,0.01,
2017-01-01,9,-0.4,,1.6,20.0,83.0,0.0,0.16,
2017-01-01,10,0.8,,2.1,50.0,77.0,0.1,0.28,
2017-01-01,11,2.5,,1.9,50.0,71.0,0.6,0.71,
2017-01-01,12,4.0,,1.3,50.0,69.0,0.2,0.86,
2017-01-01,13,5.1,,1.4,20.0,65.0,0.1,0.73,
2017-01-01,14,6.7,,0.7,340.0,61.0,0.7,0.9,
2017-01-01,15,6.9,,0.9,230.0,65.0,0.0,0.41,
2017-01-01,16,6.8,,1.2,230.0,67.0,0.0,0.21,
2017-01-01,17,6.5,,0.7,20.0,69.0,0.0,0.1,
2017-01-01,18,5.6,,2.4,50.0,70.0,0.0,0.01,
2017-01-01,19,4.8,,2.2,50.0,73.0,,,
2017-01-01,20,4.2,,1.9,70.0,73.0,,,
2017-01-01,21,4.0,,2.6,50.0,74.0,,,
2017-01-01,22,3.9,,1.4,20.0,75.0,,,
2017-01-01,23,3.9,,1.4,20.0,75.0,,,
2017-01-02,0,3.9,,1.5,20.0,75.0,,,
2017-01-02,1,3.9,,2.1,50.0,75.0,,,
2017-01-02,2,3.8,,2.2,20.0,77.0,,,
2017-01-02,3,3.7,,1.7,50.0,76.0,,,
2017-01-02,4,3.7,,1.5,20.0,77.0,,,
2017-01-02,5,3.7,,1.5,20.0,80.0,,,
2017-01-02,6,3.6,0.3,1.1,20.0,89.0,,,
2017-01-02,7,3.6,,1.1,360.0,88.0,,,
2017-01-02,8,3.8,,1.4,20.0,87.0,0.0,0.01,
2017-01-02,9,4.1,0.0,0.9,360.0,87.0,0.0,0.06,
2017-01-02,10,5.2,,2.4,230.0,86.0,0.0,0.16,
2017-01-02,11,6.3,,2.3,230.0,82.0,0.0,0.52,
2017-01-02,12,7.6,,2.1,230.0,70.0,0.3,0.77,
2017-01-02,13,8.1,,3.1,230.0,69.0,1.0,1.08,
2017-01-02,14,9.2,,3.1,200.0,59.0,0.9,1.15,
2017-01-02,15,8.3,,3.6,250.0,64.0,0.5,0.71,
2017-01-02,16,8.0,,3.2,250.0,65.0,0.0,0.44,
2017-01-02,17,7.1,,2.3,250.0,69.0,0.0,0.19,
2017-01-02,18,6.4,,2.1,270.0,73.0,0.0,0.02,
2017-01-02,19,6.0,,2.0,250.0,78.0,,,
2017-01-02,20,5.0,,3.2,250.0,81.0,,,
2017-01-02,21,4.3,,3.1,270.0,84.0,,,
2017-01-02,22,3.7,,3.0,290.0,78.0,,,
2017-01-02,23,2.8,,2.8,320.0,76.0,,,
2017-01-03,0,1.8,,1.5,360.0,79.0,,,
2017-01-03,1,1.0,,2.6,270.0,82.0,,,
2017-01-03,2,0.2,,1.4,270.0,83.0,,,
2017-01-03,3,-0.7,,0.8,360.0,79.0,,,
